 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd,, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, min_seg_size_forward, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54865,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55054,109,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,29,256,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55055,52,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,29,256,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46236,34,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,31,329,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54863,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54871,1022,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54925,4,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54925,42,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,0,0,0,1,20,0,0,0,0,0,0,1,6,1,6,32,256,0,20,0,0,0,20,20,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9282,4,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55153,4,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,946,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55143,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55144,1,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55145,4,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,980,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55254,3,3,0,43,0,31,6,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,3,43,0,0,946,-1,2,20,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36206,54,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,0,1,0,939,1269,0,32,0,0,0,32,32,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53524,1,2,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53524,154,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,0,1,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,32,32,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53526,1,2,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53526,118,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,0,1,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,32,32,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53527,239,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,0,0,0,1,32,0,0,0,0,0,0,1,0,1,0,130,65535,0,32,0,0,0,32,32,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53528,1,3,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,1,0,0,0,0,96,0,0,0,0,0,0,3,0,0,0,130,-1,0,32,0,0,0,96,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53527,1,2,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,1,0,0,0,0,64,0,0,0,0,0,0,2,0,0,0,130,-1,0,32,0,0,0,64,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55035,4,2,0,248,0,217,31,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,248,0,0,237,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55275,5,3,0,254,0,217,6,1,0,0,0,60,0,0,1,0,0,1,0,0,0,0,60,0,0,0,0,0,0,3,254,0,0,123,-1,2,20,0,0,0,60,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55277,4,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,35095,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8850,4,3,0,43,0,31,6,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,3,43,0,0,65,-1,2,20,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43248,54,1,1,0,0,0,0,0,0,0,0,32,32,0,0,0,0,1,1,0,0,1,32,0,0,0,0,0,0,1,0,1,0,59,439,0,32,0,0,0,32,32,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8678,42,3,0,43,0,31,6,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,3,43,0,0,64,-1,2,20,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55063,4,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55203,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55140,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55180,737,2,1,37,6,31,6,1,0,0,0,40,20,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,1,6,62,0,1,20,0,0,0,40,20,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55156,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55096,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,60,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55085,3,2,0,37,0,31,6,1,0,0,0,40,0,0,1,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,37,0,0,62,-1,1,20,0,0,0,40,0,0,1,0,0,1,0,0,0,1,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8689,276,3,0,43,0,31,6,0,0,0,0,60,0,0,0,0,0,1,0,0,0,0,60,0,0,0,0,0,0,3,43,0,0,62,-1,2,20,0,0,0,60,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8817,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8816,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,40905,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8886,1,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,5114,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60350,105,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60346,66,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,1024,274,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60352,68,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,1024,320,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8833,48,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,23,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9331,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9175,3,2,0,12,0,6,6,0,0,0,0,40,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,2,12,0,0,385,-1,1,20,0,0,0,40,0,0,0,0,0,1,0,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8693,16,1,1,6,6,6,6,0,0,0,0,20,20,0,0,0,0,1,1,0,0,1,20,0,0,0,0,0,0,1,6,1,6,351,258,0,20,0,0,0,20,20,0,0,0,0,1,1,0,0,0,0,0,1,BENIGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
